name,collection,material,x,y,z,a_mm,b_mm,length_mm,source,basis
GF North wall | bottom plate,02 Ground floor walls,MGP10 pine,6.8098,7.835,0.0175,90.0,35.0,769.6,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.010,02 Ground floor walls,MGP10 pine,6.425,2.7423,1.8267,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.011,02 Ground floor walls,MGP10 pine,6.425,3.1835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.012,02 Ground floor walls,MGP10 pine,6.425,4.6198,1.8267,90.0,35.0,242.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.013,02 Ground floor walls,MGP10 pine,6.425,4.9835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.014,02 Ground floor walls,MGP10 pine,6.425,5.4335,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.015,02 Ground floor walls,MGP10 pine,6.425,5.8835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.016,02 Ground floor walls,MGP10 pine,6.425,6.3335,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.017,02 Ground floor walls,MGP10 pine,6.425,6.7835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.018,02 Ground floor walls,MGP10 pine,6.425,7.2335,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | nogging.019,02 Ground floor walls,MGP10 pine,6.425,7.638,1.8267,90.0,35.0,324.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry west | anchor washer,09 Bracing and connections,Galvanised connectors,6.425,2.7085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
GF Laundry west | anchor washer.001,09 Bracing and connections,Galvanised connectors,6.425,4.5085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
GF Laundry west | anchor washer.002,09 Bracing and connections,Galvanised connectors,6.425,5.4085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
GF Laundry west | anchor washer.003,09 Bracing and connections,Galvanised connectors,6.425,6.3085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
GF Laundry nook | bottom plate,02 Ground floor walls,MGP10 pine,7.4822,2.5085,0.0175,90.0,35.0,2114.3,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | top plate lower,02 Ground floor walls,MGP10 pine,7.4822,2.5085,2.6725,90.0,45.0,2114.3,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | top plate upper,02 Ground floor walls,MGP10 pine,7.4822,2.5085,2.7175,90.0,45.0,2114.3,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | common stud,02 Ground floor walls,MGP10 pine,6.4425,2.5085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | common stud.001,02 Ground floor walls,MGP10 pine,8.5218,2.5085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | common stud.002,02 Ground floor walls,MGP10 pine,6.875,2.5085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | common stud.003,02 Ground floor walls,MGP10 pine,7.325,2.5085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | common stud.004,02 Ground floor walls,MGP10 pine,7.775,2.5085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | common stud.005,02 Ground floor walls,MGP10 pine,8.225,2.5085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging,02 Ground floor walls,MGP10 pine,6.6588,2.5085,0.9133,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.001,02 Ground floor walls,MGP10 pine,7.1,2.5085,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.002,02 Ground floor walls,MGP10 pine,7.55,2.5085,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.003,02 Ground floor walls,MGP10 pine,8.0,2.5085,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.004,02 Ground floor walls,MGP10 pine,8.3734,2.5085,0.9133,90.0,35.0,261.8,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.005,02 Ground floor walls,MGP10 pine,6.6588,2.5085,1.8267,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.006,02 Ground floor walls,MGP10 pine,7.1,2.5085,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.007,02 Ground floor walls,MGP10 pine,7.55,2.5085,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.008,02 Ground floor walls,MGP10 pine,8.0,2.5085,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | nogging.009,02 Ground floor walls,MGP10 pine,8.3734,2.5085,1.8267,90.0,35.0,261.8,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Laundry nook | anchor washer,09 Bracing and connections,Galvanised connectors,6.625,2.5085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
GF Laundry nook | anchor washer.001,09 Bracing and connections,Galvanised connectors,7.525,2.5085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
GF Nook return | bottom plate,02 Ground floor walls,MGP10 pine,8.5393,3.0744,0.0175,90.0,35.0,1131.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | top plate lower,02 Ground floor walls,MGP10 pine,8.5393,3.0744,2.6725,90.0,45.0,1131.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | top plate upper,02 Ground floor walls,MGP10 pine,8.5393,3.0744,2.7175,90.0,45.0,1131.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | common stud,02 Ground floor walls,MGP10 pine,8.5393,2.526,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | common stud.001,02 Ground floor walls,MGP10 pine,8.5393,3.6229,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | common stud.002,02 Ground floor walls,MGP10 pine,8.5393,2.9585,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | common stud.003,02 Ground floor walls,MGP10 pine,8.5393,3.4085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | nogging,02 Ground floor walls,MGP10 pine,8.5393,2.7423,0.9133,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | nogging.001,02 Ground floor walls,MGP10 pine,8.5393,3.1835,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | nogging.002,02 Ground floor walls,MGP10 pine,8.5393,3.5157,0.9133,90.0,35.0,179.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | nogging.003,02 Ground floor walls,MGP10 pine,8.5393,2.7423,1.8267,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | nogging.004,02 Ground floor walls,MGP10 pine,8.5393,3.1835,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | nogging.005,02 Ground floor walls,MGP10 pine,8.5393,3.5157,1.8267,90.0,35.0,179.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF Nook return | anchor washer,09 Bracing and connections,Galvanised connectors,8.5393,2.7085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage rear | bottom plate,02 Ground floor walls,MGP10 pine,3.3092,9.322,0.0175,90.0,35.0,6231.7,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | top plate lower,02 Ground floor walls,MGP10 pine,3.3092,9.322,2.6725,90.0,45.0,6231.7,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | top plate upper,02 Ground floor walls,MGP10 pine,3.3092,9.322,2.7175,90.0,45.0,6231.7,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud,02 Ground floor walls,MGP10 pine,0.2108,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.001,02 Ground floor walls,MGP10 pine,6.4075,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.002,02 Ground floor walls,MGP10 pine,0.6433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.003,02 Ground floor walls,MGP10 pine,1.0933,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.004,02 Ground floor walls,MGP10 pine,1.5433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.005,02 Ground floor walls,MGP10 pine,1.9933,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.006,02 Ground floor walls,MGP10 pine,2.4433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.007,02 Ground floor walls,MGP10 pine,2.8933,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.008,02 Ground floor walls,MGP10 pine,3.3433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.009,02 Ground floor walls,MGP10 pine,3.7933,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.010,02 Ground floor walls,MGP10 pine,4.2433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.011,02 Ground floor walls,MGP10 pine,4.6933,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.012,02 Ground floor walls,MGP10 pine,5.1433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.013,02 Ground floor walls,MGP10 pine,5.5933,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | common stud.014,02 Ground floor walls,MGP10 pine,6.0433,9.322,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging,02 Ground floor walls,MGP10 pine,0.4271,9.322,0.9133,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.001,02 Ground floor walls,MGP10 pine,0.8683,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.002,02 Ground floor walls,MGP10 pine,1.3183,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.003,02 Ground floor walls,MGP10 pine,1.7683,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.004,02 Ground floor walls,MGP10 pine,2.2183,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.005,02 Ground floor walls,MGP10 pine,2.6683,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.006,02 Ground floor walls,MGP10 pine,3.1183,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.007,02 Ground floor walls,MGP10 pine,3.5683,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.008,02 Ground floor walls,MGP10 pine,4.0183,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.009,02 Ground floor walls,MGP10 pine,4.4683,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.010,02 Ground floor walls,MGP10 pine,4.9183,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.011,02 Ground floor walls,MGP10 pine,5.3683,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.012,02 Ground floor walls,MGP10 pine,5.8183,9.322,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.013,02 Ground floor walls,MGP10 pine,6.2254,9.322,0.9133,90.0,35.0,329.2,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.014,02 Ground floor walls,MGP10 pine,0.4271,9.322,1.8267,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.015,02 Ground floor walls,MGP10 pine,0.8683,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.016,02 Ground floor walls,MGP10 pine,1.3183,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.017,02 Ground floor walls,MGP10 pine,1.7683,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.018,02 Ground floor walls,MGP10 pine,2.2183,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.019,02 Ground floor walls,MGP10 pine,2.6683,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.020,02 Ground floor walls,MGP10 pine,3.1183,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.021,02 Ground floor walls,MGP10 pine,3.5683,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.022,02 Ground floor walls,MGP10 pine,4.0183,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.023,02 Ground floor walls,MGP10 pine,4.4683,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.024,02 Ground floor walls,MGP10 pine,4.9183,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.025,02 Ground floor walls,MGP10 pine,5.3683,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.026,02 Ground floor walls,MGP10 pine,5.8183,9.322,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | nogging.027,02 Ground floor walls,MGP10 pine,6.2254,9.322,1.8267,90.0,35.0,329.2,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage rear | anchor washer,09 Bracing and connections,Galvanised connectors,0.3933,9.322,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage rear | anchor washer.001,09 Bracing and connections,Galvanised connectors,1.2933,9.322,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage rear | anchor washer.002,09 Bracing and connections,Galvanised connectors,2.1933,9.322,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage rear | anchor washer.003,09 Bracing and connections,Galvanised connectors,3.0933,9.322,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage rear | anchor washer.004,09 Bracing and connections,Galvanised connectors,3.9933,9.322,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage rear | anchor washer.005,09 Bracing and connections,Galvanised connectors,4.8933,9.322,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage outer end | bottom plate,02 Ground floor walls,MGP10 pine,0.1933,2.9119,0.0175,90.0,35.0,806.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | bottom plate.001,02 Ground floor walls,MGP10 pine,0.1933,8.8187,0.0175,90.0,35.0,1006.6,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | top plate lower,02 Ground floor walls,MGP10 pine,0.1933,5.9152,2.6725,90.0,45.0,6813.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | top plate upper,02 Ground floor walls,MGP10 pine,0.1933,5.9152,2.7175,90.0,45.0,6813.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage king stud,02 Ground floor walls,MGP10 pine,0.1933,3.2454,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage king stud.001,02 Ground floor walls,MGP10 pine,0.1933,8.3854,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage jack stud,02 Ground floor walls,MGP10 pine,0.1933,3.2904,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage jack stud.001,02 Ground floor walls,MGP10 pine,0.1933,8.3404,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage LVL lintel,02 Ground floor walls,LVL beams,0.1933,5.8154,2.52,90.0,240.0,5100.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple,02 Ground floor walls,MGP10 pine,0.1933,3.4085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.001,02 Ground floor walls,MGP10 pine,0.1933,3.8585,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.002,02 Ground floor walls,MGP10 pine,0.1933,4.3085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.003,02 Ground floor walls,MGP10 pine,0.1933,4.7585,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.004,02 Ground floor walls,MGP10 pine,0.1933,5.2085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.005,02 Ground floor walls,MGP10 pine,0.1933,5.6585,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.006,02 Ground floor walls,MGP10 pine,0.1933,6.1085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.007,02 Ground floor walls,MGP10 pine,0.1933,6.5585,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.008,02 Ground floor walls,MGP10 pine,0.1933,7.0085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.009,02 Ground floor walls,MGP10 pine,0.1933,7.4585,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | D03 garage head cripple.010,02 Ground floor walls,MGP10 pine,0.1933,7.9085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | common stud,02 Ground floor walls,MGP10 pine,0.1933,2.526,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | common stud.001,02 Ground floor walls,MGP10 pine,0.1933,9.3045,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | common stud.002,02 Ground floor walls,MGP10 pine,0.1933,2.9585,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | common stud.003,02 Ground floor walls,MGP10 pine,0.1933,8.8085,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | common stud.004,02 Ground floor walls,MGP10 pine,0.1933,9.2585,1.3425,35.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging,02 Ground floor walls,MGP10 pine,0.1933,2.7423,0.9133,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.001,02 Ground floor walls,MGP10 pine,0.1933,3.1019,0.9133,90.0,35.0,251.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.002,02 Ground floor walls,MGP10 pine,0.1933,8.5969,0.9133,90.0,35.0,388.1,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.003,02 Ground floor walls,MGP10 pine,0.1933,9.0335,0.9133,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.004,02 Ground floor walls,MGP10 pine,0.1933,9.2815,0.9133,90.0,35.0,11.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.005,02 Ground floor walls,MGP10 pine,0.1933,2.7423,1.8267,90.0,35.0,397.5,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.006,02 Ground floor walls,MGP10 pine,0.1933,3.1019,1.8267,90.0,35.0,251.9,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.007,02 Ground floor walls,MGP10 pine,0.1933,8.5969,1.8267,90.0,35.0,388.1,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.008,02 Ground floor walls,MGP10 pine,0.1933,9.0335,1.8267,90.0,35.0,415.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | nogging.009,02 Ground floor walls,MGP10 pine,0.1933,9.2815,1.8267,90.0,35.0,11.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage outer end | anchor washer,09 Bracing and connections,Galvanised connectors,0.1933,2.7085,0.055,35.0,35.0,4.0,S20-S25,Representative connection; not a fastener setout
Garage south | bottom plate,02 Ground floor walls,MGP10 pine,1.4575,2.5085,0.0175,90.0,35.0,2528.3,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | bottom plate.001,02 Ground floor walls,MGP10 pine,6.0733,2.5085,0.0175,90.0,35.0,703.3,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | top plate lower,02 Ground floor walls,MGP10 pine,3.3092,2.5085,2.6725,90.0,45.0,6231.7,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | top plate upper,02 Ground floor walls,MGP10 pine,3.3092,2.5085,2.7175,90.0,45.0,6231.7,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | D04 garage stacker king stud,02 Ground floor walls,MGP10 pine,2.6517,2.5085,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | D04 garage stacker king stud.001,02 Ground floor walls,MGP10 pine,5.7917,2.5085,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | D04 garage stacker jack stud,02 Ground floor walls,MGP10 pine,2.6967,2.5085,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | D04 garage stacker jack stud.001,02 Ground floor walls,MGP10 pine,5.7467,2.5085,1.2175,45.0,90.0,2365.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | D04 garage stacker LVL lintel,02 Ground floor walls,LVL beams,4.2217,2.5085,2.52,90.0,240.0,3100.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
Garage south | D04 garage stacker head cripple,02 Ground floor walls,MGP10 pine,2.8933,2.5085,2.645,35.0,90.0,10.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
